Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,12459.5400390625,12580.349609375,12404.8203125,12474.51953125,12474.51953125,3272000
2007-01-04,12473.16015625,12510.41015625,12403.8603515625,12480.6904296875,12480.6904296875,2590600
2007-01-05,12480.0498046875,12480.1298828125,12365.41015625,12398.009765625,12398.009765625,2352200
2007-01-08,12392.009765625,12445.919921875,12337.3701171875,12423.490234375,12423.490234375,2235000
2007-01-09,12424.76953125,12466.4296875,12369.169921875,12416.599609375,12416.599609375,2251900
2007-01-10,12417.0,12451.6103515625,12355.6298828125,12442.16015625,12442.16015625,2265700
2007-01-11,12442.9599609375,12544.4599609375,12442.9599609375,12514.98046875,12514.98046875,2617200
2007-01-12,12514.66015625,12561.0400390625,12489.66015625,12556.080078125,12556.080078125,2565300
2007-01-16,12555.83984375,12585.080078125,12538.9296875,12582.58984375,12582.58984375,2427200
2007-01-17,12571.4599609375,12614.0,12550.5498046875,12577.150390625,12577.150390625,2727200
2007-01-18,12575.0595703125,12611.91015625,12547.33984375,12567.9296875,12567.9296875,2506900
2007-01-19,12567.9296875,12586.83984375,12523.5498046875,12565.5302734375,12565.5302734375,2874800
2007-01-22,12565.5302734375,12572.580078125,12450.8896484375,12477.16015625,12477.16015625,2934000
2007-01-23,12477.8095703125,12554.23046875,12468.349609375,12533.7998046875,12533.7998046875,2367600
2007-01-24,12534.3701171875,12623.4501953125,12531.080078125,12621.76953125,12621.76953125,2169200
2007-01-25,12621.76953125,12622.650390625,12487.33984375,12502.5595703125,12502.5595703125,2757800
2007-01-26,12503.2802734375,12539.08984375,12431.33984375,12487.01953125,12487.01953125,2470200
2007-01-29,12487.099609375,12542.7001953125,12481.490234375,12490.7802734375,12490.7802734375,2345100
2007-01-30,12492.23046875,12538.4501953125,12459.4599609375,12523.3095703125,12523.3095703125,2440400
2007-01-31,12520.0302734375,12657.01953125,12505.2001953125,12621.6904296875,12621.6904296875,2584100
2007-02-01,12617.2001953125,12682.5703125,12616.080078125,12673.6796875,12673.6796875,2351300
2007-02-02,12673.83984375,12683.9296875,12638.349609375,12653.490234375,12653.490234375,2036100
2007-02-05,12653.41015625,12681.2099609375,12629.8603515625,12661.740234375,12661.740234375,2041400
2007-02-06,12661.66015625,12680.5703125,12633.9404296875,12666.3095703125,12666.3095703125,2010100
2007-02-07,12656.8603515625,12700.2802734375,12630.5,12666.8701171875,12666.8701171875,1940200
2007-02-08,12665.669921875,12665.830078125,12575.8603515625,12637.6298828125,12637.6298828125,1938200
2007-02-09,12638.0302734375,12675.6796875,12545.099609375,12580.830078125,12580.830078125,2203300
2007-02-12,12580.1103515625,12607.509765625,12536.2099609375,12552.5498046875,12552.5498046875,1749800
2007-02-13,12549.1904296875,12658.2197265625,12549.1904296875,12654.849609375,12654.849609375,2049400
2007-02-14,12651.2900390625,12759.400390625,12651.2099609375,12741.8603515625,12741.8603515625,2108800
2007-02-15,12741.7001953125,12779.0302734375,12728.7197265625,12765.009765625,12765.009765625,1832800
2007-02-16,12764.1298828125,12769.169921875,12744.01953125,12767.5703125,12767.5703125,2435600
2007-02-20,12766.849609375,12795.9296875,12704.6796875,12786.6396484375,12786.6396484375,2057600
2007-02-21,12782.8701171875,12782.8701171875,12707.169921875,12738.41015625,12738.41015625,2134700
2007-02-22,12735.76953125,12763.73046875,12650.6103515625,12686.01953125,12686.01953125,2068600
2007-02-23,12679.8896484375,12682.1298828125,12628.01953125,12647.48046875,12647.48046875,2154300
2007-02-26,12647.8798828125,12697.23046875,12608.4697265625,12632.259765625,12632.259765625,2300800
2007-02-27,12628.900390625,12629.3798828125,12086.0595703125,12216.240234375,12216.240234375,3933000
2007-02-28,12214.919921875,12353.4697265625,12186.0400390625,12268.6298828125,12268.6298828125,4128200
2007-03-01,12268.6298828125,12289.2197265625,12059.5400390625,12234.33984375,12234.33984375,3720100
2007-03-02,12233.7802734375,12247.400390625,12107.3701171875,12114.099609375,12114.099609375,3151800
2007-03-05,12111.6103515625,12188.83984375,12039.1103515625,12050.41015625,12050.41015625,2787700
2007-03-06,12051.169921875,12224.41015625,12050.6103515625,12207.58984375,12207.58984375,2788100
2007-03-07,12204.4599609375,12256.9404296875,12178.990234375,12192.4501953125,12192.4501953125,2635400
2007-03-08,12193.330078125,12303.6396484375,12193.330078125,12260.7001953125,12260.7001953125,2410700
2007-03-09,12262.0595703125,12330.8798828125,12228.5,12276.3203125,12276.3203125,2110400
2007-03-12,12275.6796875,12349.9501953125,12246.51953125,12318.6201171875,12318.6201171875,2195800
2007-03-13,12307.490234375,12307.5703125,12071.48046875,12075.9599609375,12075.9599609375,3123400
2007-03-14,12074.51953125,12142.9404296875,11939.6103515625,12133.400390625,12133.400390625,3334500
2007-03-15,12133.16015625,12188.1201171875,12105.919921875,12159.6796875,12159.6796875,2326000
2007-03-16,12159.6796875,12190.3603515625,12082.1298828125,12110.41015625,12110.41015625,3886600
2007-03-19,12110.41015625,12234.669921875,12110.41015625,12226.169921875,12226.169921875,2084800
2007-03-20,12226.8095703125,12294.0302734375,12213.1103515625,12288.099609375,12288.099609375,1966200
2007-03-21,12288.98046875,12480.4501953125,12263.509765625,12447.51953125,12447.51953125,2460000
2007-03-22,12446.7197265625,12476.2802734375,12408.509765625,12461.1396484375,12461.1396484375,2327000
2007-03-23,12460.5,12511.0498046875,12448.650390625,12481.009765625,12481.009765625,2064100
2007-03-26,12480.3701171875,12486.7802734375,12367.169921875,12469.0703125,12469.0703125,2199600
2007-03-27,12468.669921875,12468.669921875,12377.26953125,12397.2900390625,12397.2900390625,2093400
2007-03-28,12396.490234375,12396.490234375,12257.419921875,12300.3603515625,12300.3603515625,2248300
2007-03-29,12301.48046875,12381.91015625,12267.58984375,12348.75,12348.75,2081600
2007-03-30,12348.91015625,12416.6796875,12242.599609375,12354.349609375,12354.349609375,2336300
2007-04-02,12354.51953125,12394.98046875,12324.2802734375,12382.2998046875,12382.2998046875,2094200
2007-04-03,12379.0498046875,12534.26953125,12379.0498046875,12510.2998046875,12510.2998046875,2204700
2007-04-04,12511.3603515625,12541.509765625,12495.75,12530.0498046875,12530.0498046875,2101300
