Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2007-01-03,2.992856979370117,68.4000015258789,60.36000061035156,89.16999816894531,61.15999984741211,9.017499923706055,27.729999542236328,70.97000122070312,33.73830032348633,,200.72000122070312,41.06999969482422,42.99696731567383,97.2699966430664,20.350000381469727,66.4000015258789,48.06999969482422,24.290000915527344,43.869998931884766,78.26000213623047,44.02000045776367,29.860000610351562,12.208749771118164,64.54000091552734,53.54999923706055,52.56999969482422,,35.306732177734375,46.06999969482422,47.54999923706055
2007-01-04,3.059286117553711,71.33000183105469,59.91999816894531,89.52999877929688,61.0,9.470000267028809,28.459999084472656,70.27999877929688,34.00465393066406,,198.85000610351562,40.56999969482422,42.97789764404297,98.30999755859375,21.170000076293945,67.2300033569336,48.189998626708984,24.299999237060547,43.540000915527344,77.94999694824219,45.11000061035156,29.809999465942383,12.333749771118164,64.05000305175781,53.099998474121094,52.90999984741211,,35.502777099609375,46.15999984741211,47.779998779296875
2007-01-05,3.0374999046325684,71.5,59.130001068115234,89.1500015258789,60.220001220703125,9.880000114440918,28.469999313354492,70.55000305175781,33.72843551635742,,199.0500030517578,39.790000915527344,42.56794738769531,97.41999816894531,21.100000381469727,66.62000274658203,47.790000915527344,24.1299991607666,43.540000915527344,77.41999816894531,44.29999923706055,29.639999389648438,12.353750228881836,63.5,52.40999984741211,52.54999923706055,,34.89596939086914,45.5,47.38999938964844
2007-01-08,3.052500009536743,70.93000030517578,59.689998626708984,88.94000244140625,60.290000915527344,9.982500076293945,28.6299991607666,71.44999694824219,34.03424835205078,,203.72999572753906,39.4900016784668,42.82535934448242,98.9000015258789,21.010000228881836,66.51000213623047,47.95000076293945,24.28499984741211,43.709999084472656,77.58999633789062,44.290000915527344,29.93000030517578,12.31624984741211,63.63999938964844,52.02000045776367,53.31999969482422,,34.36384963989258,45.689998626708984,47.0
2007-01-09,3.3060710430145264,71.2699966430664,59.310001373291016,88.0,60.619998931884766,9.989999771118164,28.469999313354492,70.62999725341797,33.98492431640625,,204.0800018310547,39.31999969482422,43.130435943603516,100.06999969482422,21.030000686645508,66.26000213623047,47.75,24.30500030517578,43.790000915527344,77.68000030517578,43.880001068115234,29.959999084472656,12.470000267028809,63.47999954223633,51.88999938964844,52.68000030517578,,34.50387954711914,45.93000030517578,47.38999938964844
2007-01-10,3.4642860889434814,71.04000091552734,59.27000045776367,89.2699966430664,60.31999969482422,10.057499885559082,28.68000030517578,69.41000366210938,34.024383544921875,,208.11000061035156,39.779998779296875,42.863494873046875,98.88999938964844,21.520000457763672,66.1500015258789,48.099998474121094,24.34000015258789,44.2599983215332,77.8499984741211,44.119998931884766,29.65999984741211,12.470000267028809,64.23999786376953,51.54999923706055,52.83000183105469,,34.307838439941406,45.58000183105469,47.279998779296875
2007-01-11,3.421428918838501,71.91000366210938,59.45000076293945,88.83999633789062,60.0,10.4350004196167,28.690000534057617,68.69000244140625,34.517635345458984,,211.8800048828125,40.08000183105469,43.578521728515625,98.6500015258789,21.920000076293945,66.7300033569336,48.310001373291016,24.3700008392334,44.5099983215332,78.6500015258789,44.2599983215332,30.700000762939453,12.4975004196167,64.63999938964844,51.20000076293945,54.45000076293945,,34.64391326904297,46.060001373291016,47.599998474121094
2007-01-12,3.379286050796509,73.2699966430664,59.0099983215332,88.12999725341797,59.7400016784668,10.604999542236328,28.920000076293945,70.3499984741211,34.73466491699219,,213.99000549316406,40.11000061035156,43.435516357421875,99.33999633789062,22.1299991607666,66.63999938964844,47.9900016784668,24.274999618530273,44.220001220703125,79.36000061035156,44.790000915527344,31.209999084472656,12.470000267028809,65.0,51.060001373291016,55.099998474121094,,34.84929275512695,46.20000076293945,47.97999954223633
2007-01-16,3.4678568840026855,73.5,59.130001068115234,88.0,59.2400016784668,10.824999809265137,28.040000915527344,69.66999816894531,34.55709457397461,,213.58999633789062,40.290000915527344,43.49271774291992,100.81999969482422,22.299999237060547,66.54000091552734,48.38999938964844,24.25,44.56999969482422,79.55999755859375,44.95000076293945,31.15999984741211,12.49625015258789,65.0,51.04999923706055,55.75,,34.690589904785156,46.09000015258789,48.310001373291016
2007-01-17,3.391071081161499,73.93000030517578,59.220001220703125,88.83000183105469,59.90999984741211,10.662500381469727,26.979999542236328,70.81999969482422,34.77412414550781,,213.22999572753906,40.290000915527344,43.416446685791016,100.0199966430664,21.040000915527344,66.87000274658203,48.43000030517578,24.299999237060547,44.86000061035156,78.91000366210938,45.0099983215332,31.100000381469727,12.477499961853027,65.36000061035156,50.959999084472656,55.650001525878906,,34.42919921875,46.5099983215332,48.20000076293945
2007-01-18,3.1810710430145264,73.69000244140625,59.0,88.0,59.900001525878906,10.362500190734863,26.450000762939453,70.91999816894531,35.366024017333984,,209.67999267578125,40.869998931884766,42.939762115478516,99.44999694824219,20.649999618530273,67.70999908447266,48.150001525878906,24.174999237060547,44.59000015258789,78.80999755859375,45.7400016784668,31.0,12.458749771118164,65.54000091552734,51.290000915527344,53.79999923706055,,35.07334518432617,46.400001525878906,48.38999938964844
